city,pred_avg_demand,pred_lower,pred_upper,Sender City,total_sent,avg_tariff,avg_transit,delay_rate,total_revenue,avg_revenue_per_kg,lat,lon,h3_index
Guwahati,48.957513684562024,41.10502839862036,56.71757531295302,Guwahati,1368,447.4798976608187,3.0109649122807016,0.40131578947368424,702224.45,69.45939471674905,26.1445,91.7362,843ce15ffffffff
Patna,47.12648224770001,40.36427436500802,54.020442970937715,Patna,1464,452.9116803278688,2.9938524590163933,0.3948087431693989,760593.67,68.87224652190822,25.5941,85.1376,843c139ffffffff
Mumbai,49.742658410108156,43.495244014873684,55.98209044170902,Mumbai,1407,442.02781805259417,2.992892679459844,0.39303482587064675,714717.42,68.74477056537403,19.076,72.8777,84608b1ffffffff
Bhopal,48.92880886670641,41.593494100139004,56.16412793452517,Bhopal,1383,431.5163268257411,3.0245842371655822,0.4027476500361533,689184.47,68.76228119337364,23.2599,77.4126,843d915ffffffff
Kochi,38.831711427903784,33.13538587803775,44.429781313862094,Kochi,1360,440.3010588235294,2.998529411764706,0.40441176470588236,691767.14,68.58232630037077,9.9312,76.2673,846004dffffffff
Indore,44.46033476988956,35.52360723876637,53.43068282330741,Indore,1369,433.8738933528123,2.991234477720964,0.38933528122717315,688869.78,68.45758153765927,22.7196,75.8577,843d963ffffffff
Shimla,41.28696713364999,33.14639398134599,49.499920998771096,Shimla,1385,440.4794873646209,3.0332129963898917,0.4072202166064982,704916.57,70.59896477743881,31.1048,77.1734,843d109ffffffff
Jamshedpur,57.670486887764994,49.92862081579615,65.42524763225869,Jamshedpur,1374,448.1515720524018,2.9490538573508007,0.38282387190684136,707458.73,69.64133106494246,22.8046,86.2029,843cabdffffffff
Aurangabad,42.81912815498672,36.484101303662094,49.03875256686497,Aurangabad,1362,434.0109251101322,2.930983847283407,0.37812041116005873,683844.68,70.06163857116205,19.8762,75.3433,84609ddffffffff
Bangalore,48.13091151041969,41.4554414566072,54.820341139911726,Bangalore,1389,444.7355579553635,2.999280057595392,0.39812814974802013,709488.56,68.7002007220261,12.9716,77.5946,8461893ffffffff
Thiruvananthapuram,50.701655549762066,43.35870727190004,58.12784792172954,Thiruvananthapuram,1377,440.43182280319536,2.971677559912854,0.4008714596949891,699016.55,68.17980200412289,8.5241,76.9366,8460263ffffffff
Agra,45.30598104355292,37.05830262672836,53.6654695933061,Agra,1361,465.8131006612785,3.034533431300514,0.41072740631888316,723191.32,70.09102104005265,27.1767,78.0081,843d859ffffffff
Pune,45.76538225084289,40.09280582317535,51.413483787052535,Pune,1426,431.4865638148667,2.9985974754558207,0.38218793828892006,712409.15,69.4352040425073,18.5204,73.8567,8460885ffffffff
